ID,Startzeit,Fertigstellungszeit,E-Mail,Name,Zeitpunkt der letzten Änderung,"Durch Ankreuzen des Kästchens erkläre ich mich damit einverstanden, dass meine Antworten für die Datenerhebung im Rahmen der oben beschriebenen Bachelorarbeit verwendet werden dürfen.
      ","Wie alt sind Sie?
","Welches Geschlecht haben Sie?
","Wie lange gehen Sie bereits Ihrem Beruf als Ärztin/Arzt nach?
","Bei was für einer Einrichtung sind Sie derzeit (schwerpunktmäßig) angestellt?
","Wie würden Sie den Standort der Einrichtung, in der sie arbeiten, einordnen? Handelt es sich eher um ein ländliches, städtisches oder vorstädtisches Gebiet?
","Welche Position haben Sie derzeit inne?      
",Welches Arbeitsmodell verfolgen Sie derzeit?      ,"Wie hoch ist Ihre tatsächliche Wochenarbeitszeit inklusive aller Dienste und Überstunden im Durchschnitt?
","Werden Ihre Überstunden überwiegend vergütet oder mit Freizeit ausgeglichen?      
","Wie beurteilen Sie Ihre derzeitigen Arbeitsbedingungen?
","Wie beurteilen Sie die personelle Besetzung im ärztlichen Dienst in Ihrer Einrichtung?
","Wie haben sich Ihre Arbeitsbedingungen seit der COVID-19-Pandemie entwickelt?
","Wurden seit der Covid-19 Pandemie neue oder zusätzliche Maßnahmen ergriffen, um Ihre Arbeitssituation und -bedingungen zu verbessern (z.B. Angebot von alternativen Arbeitszeitenmodellen, spezielle...","Wenn ja, welche Maßnahmen wurden getroffen?
","Ich empfinde es als angenehm, bei meinem Arbeitgeber zu arbeiten","Ich fühle mich mit meinem Arbeitgeber persönlich verbunden
","Ich fände es persönlich schade, wenn die Beschäftigung bei meinem Arbeitgeber beendet werden würde","Ich kann mich mit meinem Arbeitgeber und den Produkten/Dienstleistungen identifizieren
      ","Meine persönlichen Kontakte zu meinem Arbeitsumfeld sind für mich von Bedeutung
","In gewisser Weise bindet mich der für einen Wechsel benötigte Zeitaufwand an meinen Arbeitgeber
","Ich bin auf meinen Arbeitgeber angewiesen, weil es zurzeit keine gleichwertigen Alternativen am Markt gibt","Ich empfinde eine Bindung an meinen Arbeitgeber, weil bei einem Wechsel der von mir investierte Aufwand an Wert verlieren würde","Ich fühle mich an meinen Arbeitgeber gebunden, weil ein Wechsel mit Wechselkosten einhergehen würde","Es wäre nicht fair, die Beziehung mit meinem Arbeitgeber aufzukündigen, weil er sich stets um mich als Arbeitnehmer bemüht hat",Aufgrund der langen Beziehung mit meinem Arbeitgeber fühle ich mich zu einer gewissen Rücksichtnahme verpflichtet,Ich fühle mich in der Angestelltenbeziehung mit dem Arbeitgeber zur Fairness verpflichtet,Moralische Verpflichtungen gegenüber dem Arbeitgeber spielen für mich auch eine Rolle,Ich bin vertraglich an meinen Arbeitgeber gebunden,Mein Arbeitsvertrag schafft faire Rahmenbedingungen für meine Arbeit ,Mein Arbeitsvertrag stellt eine gerechte monetärere Kompensation sicher,Ich würde gerne Teile meines Arbeitsvertrages anpassen
60,2/27/24 19:44:30,2/27/24 19:50:47,anonymous,,,Einverstanden,37,Männlich,6 - 10 Jahre,Kirchliches Krankenhaus,Städtisch (urban),Oberärztin/arzt,Teilzeit,49 - 59 h,Überwiegend vergütet,Schlecht,Schlecht,Verschlimmert,Nein,,3,4,3,2,3,2,1,3,3,3,4,4,4,5,2,3,5
61,2/27/24 20:21:33,2/27/24 20:24:07,anonymous,,,Einverstanden,59,Männlich,> 20 Jahre,Krankenhaus in privater Trägerschaft,Städtisch (urban),Stellv. Chefärztin/arzt,Vollzeit,49 - 59 h,Überwiegend vergütet,Sehr gut,Gut,Verbessert,Ja,"Testmöglichkeiten, längere Regenerationsphasen",4,5,5,5,5,4,4,4,4,5,5,4,4,5,4,4,3
62,2/27/24 20:24:19,2/27/24 20:26:06,anonymous,,,Einverstanden,34,Weiblich,6 - 10 Jahre,Kommunales Krankenhaus,Städtisch (urban),Fachärztin/arzt,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Mittelmäßig,Mittelmäßig,Weder noch,Nein,,3,1,2,2,4,2,4,2,3,2,2,3,2,4,2,2,5
63,2/27/24 20:26:17,2/27/24 20:28:08,anonymous,,,Einverstanden,47,Weiblich,16 - 20 Jahre,Andere stationäre Einrichtung,Vorstädtisch (suburban),Oberärztin/arzt,Teilzeit,30 - 39 h,Überwiegend Freizeitausgleich,Mittelmäßig,Mittelmäßig,Weder noch,Nein,,3,1,2,3,5,3,2,2,3,4,3,2,2,4,2,2,5
64,2/27/24 21:44:51,2/27/24 21:48:27,anonymous,,,Einverstanden,32,Weiblich,6 - 10 Jahre,Universitätsklinikum,Städtisch (urban),Fachärztin/arzt,Vollzeit,49 - 59 h,Überwiegend vergütet,Mittelmäßig,Schlecht,Weder noch,Nein,,2,2,3,2,5,1,1,5,1,1,1,4,3,3,2,2,3
65,2/28/24 5:25:32,2/28/24 5:28:20,anonymous,,,Einverstanden,41,Männlich,11 - 15 Jahre,Andere stationäre Einrichtung,Städtisch (urban),Fachärztin/arzt,Vollzeit,49 - 59 h,Überwiegend vergütet,Gut,Mittelmäßig,Weder noch,Nein,,4,4,5,4,5,3,3,4,2,4,4,3,3,5,4,4,3
66,2/28/24 5:28:30,2/28/24 5:32:07,anonymous,,,Einverstanden,56,Weiblich,> 20 Jahre,Universitätsklinikum,Städtisch (urban),Oberärztin/arzt,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Gut,Gut,Verbessert,Ja,"Informationsangebot vergrößert, Testpflicht, Hygienemassnahmen erweitert",4,5,5,4,5,4,3,4,4,5,5,5,4,5,4,4,4
67,2/28/24 6:10:14,2/28/24 6:15:06,anonymous,,,Einverstanden,51,Weiblich,> 20 Jahre,Kirchliches Krankenhaus,Vorstädtisch (suburban),Chefärztin/arzt,Vollzeit,60 - 79 h,Weder noch,Sehr gut,Mittelmäßig,Weder noch,Nein,"Nein, da wir ALLE von Ihnen genannten Maßnahmen bereits in den Jahren vor der Covid-10 Pandemie begonnen hatten.",4,5,5,5,5,4,2,3,2,4,3,4,3,4,5,5,2
68,2/28/24 6:24:01,2/28/24 6:26:32,anonymous,,,Einverstanden,32,Weiblich,6 - 10 Jahre,Kommunales Krankenhaus,Vorstädtisch (suburban),Ärztin/Arzt in Weiterbildung,Teilzeit,30 - 39 h,Überwiegend Freizeitausgleich,Mittelmäßig,Schlecht,Verschlimmert,Nein,,3,1,1,1,4,2,2,2,3,2,1,3,2,4,2,1,5
69,2/28/24 6:31:48,2/28/24 6:35:03,anonymous,,,Einverstanden,64,Männlich,> 20 Jahre,Krankenhaus in privater Trägerschaft,Städtisch (urban),Stellv. Chefärztin/arzt,Vollzeit,49 - 59 h,Überwiegend vergütet,Gut,Gut,Verbessert,Ja,"Psychische Unterstützung, erhöhte Hygienemassnahmen, erhöhte Information",4,5,5,5,5,4,5,4,5,5,5,4,5,5,4,4,4
70,2/28/24 6:43:07,2/28/24 6:45:45,anonymous,,,Einverstanden,39,Männlich,11 - 15 Jahre,Kirchliches Krankenhaus,Städtisch (urban),Oberärztin/arzt,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Gut,Mittelmäßig,Weder noch,Nein,,4,3,3,3,5,3,2,2,3,3,2,3,2,4,3,2,4
71,2/28/24 7:03:03,2/28/24 7:05:59,anonymous,,,Einverstanden,28,Weiblich,2 - 5 Jahre,Kirchliches Krankenhaus,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,40 - 48 h,Überwiegend Freizeitausgleich,Gut,Mittelmäßig,Weder noch,Nein,,3,2,2,2,4,2,2,2,3,3,1,2,4,4,2,2,5
72,2/28/24 7:31:14,2/28/24 7:35:31,anonymous,,,Einverstanden,38,Weiblich,11 - 15 Jahre,Krankenhaus in privater Trägerschaft,Vorstädtisch (suburban),Fachärztin/arzt,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Gut,Mittelmäßig,Verbessert,Ja,"verstärkte Förderung zur Weiterbildung, psychiatrische Hilfe, verstärkte Hygienemaßnahmen",4,4,5,5,5,4,3,4,4,4,4,5,4,5,4,4,4
73,2/28/24 8:06:47,2/28/24 8:11:46,anonymous,,,Einverstanden,32,Männlich,2 - 5 Jahre,Kommunales Krankenhaus,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Schlecht,Mittelmäßig,Weder noch,Nein,,3,3,3,2,4,3,3,2,1,3,2,1,1,4,2,2,5
74,2/28/24 8:21:35,2/28/24 8:25:24,anonymous,,,Einverstanden,59,Weiblich,> 20 Jahre,Kirchliches Krankenhaus,Städtisch (urban),Stellv. Chefärztin/arzt,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Sehr gut,Gut,Verbessert,Ja,"Fortbildung und Informationsbereitschaft vergrößert, intensivere Hygienemassnahmen durchgesetzt",5,5,5,4,5,4,3,5,4,5,5,5,5,5,4,4,4
75,2/28/24 8:25:50,2/28/24 8:28:09,anonymous,,,Einverstanden,41,Männlich,11 - 15 Jahre,Krankenhaus in privater Trägerschaft,Vorstädtisch (suburban),Oberärztin/arzt,Vollzeit,40 - 48 h,Überwiegend vergütet,Gut,Mittelmäßig,Weder noch,Nein,,4,3,4,4,5,3,3,4,3,4,4,4,4,5,4,3,4
76,2/28/24 8:28:35,2/28/24 8:31:39,anonymous,,,Einverstanden,29,Weiblich,2 - 5 Jahre,Kommunales Krankenhaus,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Teilzeit,30 - 39 h,Überwiegend Freizeitausgleich,Gut,Mittelmäßig,Weder noch,Nein,,4,2,3,3,4,3,2,2,2,3,1,3,2,4,3,3,4
77,2/28/24 8:31:49,2/28/24 8:33:59,anonymous,,,Einverstanden,33,Männlich,6 - 10 Jahre,Universitätsklinikum,Städtisch (urban),Fachärztin/arzt,Vollzeit,40 - 48 h,Überwiegend Freizeitausgleich,Gut,Mittelmäßig,Weder noch,Nein,,4,2,4,4,4,3,1,2,4,1,1,1,1,1,4,3,4
78,2/28/24 8:31:49,2/28/24 8:34:11,anonymous,,,Einverstanden,45,Männlich,16 - 20 Jahre,Krankenhaus in privater Trägerschaft,Städtisch (urban),Oberärztin/arzt,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Gut,Mittelmäßig,Weder noch,Nein,,4,2,3,4,5,3,2,2,3,2,3,4,3,4,3,3,5
79,2/28/24 8:35:19,2/28/24 8:38:00,anonymous,,,Einverstanden,47,Männlich,16 - 20 Jahre,Krankenhaus in privater Trägerschaft,Städtisch (urban),Fachärztin/arzt,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Gut,Schlecht,Verschlimmert,Nein,,3,3,2,2,4,3,2,3,3,2,3,2,2,5,3,2,5
80,2/28/24 10:36:11,2/28/24 10:39:43,anonymous,,,Einverstanden,29,Weiblich,2 - 5 Jahre,Kommunales Krankenhaus,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Gut,Mittelmäßig,Weder noch,Nein,,4,5,5,4,5,1,1,1,1,2,1,2,5,5,3,3,5
81,2/28/24 10:56:09,2/28/24 10:58:20,anonymous,,,Einverstanden,37,Weiblich,11 - 15 Jahre,Andere stationäre Einrichtung,Städtisch (urban),Fachärztin/arzt,Teilzeit,30 - 39 h,Überwiegend Freizeitausgleich,Gut,Mittelmäßig,Weder noch,Nein,,4,3,4,3,4,3,2,3,2,3,3,2,2,4,3,3,4
82,2/28/24 10:58:34,2/28/24 11:00:40,anonymous,,,Einverstanden,61,Männlich,> 20 Jahre,Kirchliches Krankenhaus,Vorstädtisch (suburban),Oberärztin/arzt,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Gut,Gut,Weder noch,Nein,,4,4,5,4,5,3,4,4,3,4,5,5,5,5,4,4,3
83,2/28/24 11:19:35,2/28/24 11:21:52,anonymous,,,Einverstanden,27,Weiblich,2 - 5 Jahre,Kommunales Krankenhaus,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Mittelmäßig,Schlecht,Verschlimmert,Nein,,3,1,2,2,5,2,1,2,2,2,1,3,1,4,3,2,5
84,2/28/24 11:29:05,2/28/24 11:37:01,anonymous,,,Einverstanden,43,Männlich,16 - 20 Jahre,Andere stationäre Einrichtung,Städtisch (urban),Oberärztin/arzt,Vollzeit,49 - 59 h,Überwiegend vergütet,Sehr gut,Mittelmäßig,Verschlimmert,Nein,,5,5,5,5,5,1,2,2,1,2,2,4,4,1,4,4,2
85,2/28/24 13:13:46,2/28/24 13:16:23,anonymous,,,Einverstanden,46,Weiblich,16 - 20 Jahre,Kirchliches Krankenhaus,Städtisch (urban),Oberärztin/arzt,Vollzeit,40 - 48 h,Überwiegend Freizeitausgleich,Sehr gut,Gut,Verbessert,Ja,"wöchentliche Informationen über RKI-Portal, erhöhte Infektionsschutzmaßnahmen, Ruhepausen nach Einsätzen bei Covid-Patienten",5,4,5,5,5,3,4,4,3,5,5,5,5,5,4,4,3
86,2/28/24 13:19:48,2/28/24 13:22:04,anonymous,,,Einverstanden,32,Männlich,6 - 10 Jahre,Kommunales Krankenhaus,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,49 - 59 h,Weder noch,Mittelmäßig,Schlecht,Verschlimmert,Nein,,2,1,2,1,4,3,2,2,1,2,1,2,1,5,2,2,5
87,2/28/24 13:29:18,2/28/24 13:33:32,anonymous,,,Einverstanden,32,Weiblich,2 - 5 Jahre,Andere stationäre Einrichtung,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,49 - 59 h,Überwiegend vergütet,Gut,Gut,Weder noch,Ja,Sportangebote durch die Klinik,3,2,4,3,4,2,2,4,2,2,2,3,3,4,3,3,3
88,2/28/24 13:37:28,2/28/24 13:40:52,anonymous,,,Einverstanden,39,Männlich,11 - 15 Jahre,Krankenhaus in privater Trägerschaft,Städtisch (urban),Fachärztin/arzt,Vollzeit,40 - 48 h,Überwiegend vergütet,Gut,Gut,Verbessert,Ja,"erhöhte Hygiene- und Schutzmaßnahmen, monetäre Entschädigungen als Risikozulage",4,4,5,4,5,4,4,4,3,5,4,5,4,5,4,5,3
89,2/28/24 14:04:49,2/28/24 14:06:51,anonymous,,,Einverstanden,44,Weiblich,16 - 20 Jahre,Universitätsklinikum,Städtisch (urban),Fachärztin/arzt,Teilzeit,30 - 39 h,Überwiegend Freizeitausgleich,Gut,Gut,Weder noch,Nein,,4,3,5,3,5,4,4,3,3,4,4,5,4,4,4,4,3
90,2/28/24 15:40:37,2/28/24 15:42:52,anonymous,,,Einverstanden,36,Männlich,16 - 20 Jahre,Krankenhaus in privater Trägerschaft,Städtisch (urban),Oberärztin/arzt,Vollzeit,40 - 48 h,Überwiegend Freizeitausgleich,Gut,Mittelmäßig,Weder noch,Nein,,4,4,5,3,5,4,3,3,3,4,4,4,3,5,5,5,2
91,2/28/24 16:09:52,2/28/24 16:12:08,anonymous,,,Einverstanden,32,Weiblich,6 - 10 Jahre,Kommunales Krankenhaus,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,49 - 59 h,Weder noch,Mittelmäßig,Schlecht,Verschlimmert,Nein,,2,1,2,2,4,3,3,1,2,2,1,1,1,4,2,2,5
92,2/28/24 16:41:30,2/28/24 16:43:35,anonymous,,,Einverstanden,50,Männlich,> 20 Jahre,Universitätsklinikum,Städtisch (urban),Oberärztin/arzt,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Gut,Gut,Weder noch,Nein,,4,3,5,3,5,3,5,4,4,5,5,5,5,5,4,4,3
93,2/28/24 16:48:49,2/28/24 16:55:24,anonymous,,,Einverstanden,59,Weiblich,> 20 Jahre,Kommunales Krankenhaus,Vorstädtisch (suburban),Oberärztin/arzt,Vollzeit,40 - 48 h,Überwiegend Freizeitausgleich,Gut,Mittelmäßig,Weder noch,Nein,,5,4,5,4,5,4,4,5,3,5,5,5,5,5,4,4,3
94,2/29/24 5:11:45,2/29/24 5:14:01,anonymous,,,Einverstanden,32,Männlich,6 - 10 Jahre,Kommunales Krankenhaus,Vorstädtisch (suburban),Ärztin/Arzt in Weiterbildung,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Gut,Gut,Weder noch,Nein,,5,4,4,3,5,4,2,3,3,4,1,4,5,5,4,4,3
95,2/29/24 5:14:09,2/29/24 5:16:10,anonymous,,,Einverstanden,53,Weiblich,> 20 Jahre,Universitätsklinikum,Städtisch (urban),Oberärztin/arzt,Vollzeit,40 - 48 h,Überwiegend Freizeitausgleich,Sehr gut,Gut,Weder noch,Nein,,5,3,5,4,5,4,4,4,4,4,5,5,4,5,4,4,3
96,2/29/24 6:15:51,2/29/24 6:18:20,anonymous,,,Einverstanden,33,Männlich,6 - 10 Jahre,Ambulante Einrichtung,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,40 - 48 h,Überwiegend vergütet,Sehr gut,Gut,Weder noch,Nein,,4,5,5,4,5,4,3,3,3,4,3,4,4,5,4,4,3
97,2/29/24 6:41:08,2/29/24 6:45:18,anonymous,,,Einverstanden,44,Weiblich,16 - 20 Jahre,Kirchliches Krankenhaus,Städtisch (urban),Oberärztin/arzt,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Gut,Gut,Verbessert,Ja,"Mitarbeiterinformation zum Covid-Status, verbesserte Hygienemaßnahmen",4,4,5,4,5,3,4,4,4,5,5,5,5,5,4,4,2
98,2/29/24 7:48:50,2/29/24 7:51:38,anonymous,,,Einverstanden,26,Weiblich,< 2 Jahre,Ambulante Einrichtung,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,40 - 48 h,Überwiegend Freizeitausgleich,Gut,Gut,Weder noch,Nein,,4,3,4,3,4,4,4,4,3,3,1,4,4,5,4,4,3
99,2/29/24 9:16:30,2/29/24 9:18:59,anonymous,,,Einverstanden,33,Weiblich,6 - 10 Jahre,Krankenhaus in privater Trägerschaft,Vorstädtisch (suburban),Ärztin/Arzt in Weiterbildung,Vollzeit,40 - 48 h,Weder noch,Mittelmäßig,Schlecht,Verschlimmert,Nein,,2,1,2,2,5,2,2,1,1,2,1,3,2,4,2,2,5
100,2/29/24 11:03:02,2/29/24 11:05:30,anonymous,,,Einverstanden,39,Weiblich,11 - 15 Jahre,Krankenhaus in privater Trägerschaft,Städtisch (urban),Fachärztin/arzt,Teilzeit,20 - 29 h,Überwiegend Freizeitausgleich,Mittelmäßig,Mittelmäßig,Weder noch,Nein,,3,2,2,1,5,4,2,2,1,2,2,3,2,5,3,2,4
101,2/29/24 12:25:06,2/29/24 12:29:14,anonymous,,,Einverstanden,49,Weiblich,> 20 Jahre,Kirchliches Krankenhaus,Städtisch (urban),Oberärztin/arzt,Vollzeit,40 - 48 h,Überwiegend Freizeitausgleich,Gut,Gut,Verbessert,Ja,"erhöhter Informationsaustausch im Klinikum, psychische Betreuung und Beratung, erhöhter Gesundheitsschutz",5,5,5,5,5,3,4,4,2,5,5,5,5,5,4,4,2
102,2/29/24 14:56:03,2/29/24 14:58:18,anonymous,,,Einverstanden,32,Männlich,6 - 10 Jahre,Ambulante Einrichtung,Städtisch (urban),Fachärztin/arzt,Vollzeit,40 - 48 h,Überwiegend vergütet,Sehr gut,Gut,Weder noch,Nein,,4,3,5,4,5,4,3,3,3,4,3,4,4,5,4,4,3
103,3/1/24 13:15:17,3/1/24 13:17:54,anonymous,,,Einverstanden,39,Männlich,11 - 15 Jahre,Kirchliches Krankenhaus,Städtisch (urban),Oberärztin/arzt,Vollzeit,40 - 48 h,Überwiegend Freizeitausgleich,Sehr gut,Gut,Verbessert,Ja,erhöhte Informations - und Hygienemassnahmen,5,4,5,4,5,4,4,3,3,5,5,5,5,5,4,4,3
104,3/1/24 16:43:26,3/1/24 16:45:14,anonymous,,,Einverstanden,32,Weiblich,6 - 10 Jahre,Kirchliches Krankenhaus,Städtisch (urban),Fachärztin/arzt,Vollzeit,49 - 59 h,Überwiegend vergütet,Gut,Gut,Weder noch,Nein,,4,3,3,3,5,3,4,3,2,3,4,3,3,5,4,3,4
105,3/1/24 18:11:42,3/1/24 18:16:07,anonymous,,,Einverstanden,28,Weiblich,2 - 5 Jahre,Krankenhaus in privater Trägerschaft,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,60 - 79 h,Überwiegend vergütet,Mittelmäßig,Gut,Weder noch,Nein,,4,5,4,4,5,4,1,3,1,1,1,3,3,3,3,3,3
106,3/1/24 19:17:21,3/1/24 19:29:11,anonymous,,,Einverstanden,32,Männlich,2 - 5 Jahre,Krankenhaus in privater Trägerschaft,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Gut,Mittelmäßig,Weder noch,Nein,,4,4,4,4,5,2,2,3,2,3,2,3,2,5,4,4,4
107,3/1/24 20:46:18,3/1/24 20:49:06,anonymous,,,Einverstanden,35,Männlich,6 - 10 Jahre,Kommunales Krankenhaus,Städtisch (urban),Fachärztin/arzt,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Gut,Mittelmäßig,Weder noch,Nein,,4,3,4,4,5,1,1,2,1,3,1,4,2,1,4,3,5
108,3/2/24 11:52:42,3/2/24 11:55:44,anonymous,,,Einverstanden,30,Weiblich,2 - 5 Jahre,Andere stationäre Einrichtung,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Gut,Gut,Verbessert,Nein,,4,2,5,3,5,3,1,1,1,4,4,4,1,1,2,4,3
109,3/2/24 18:56:50,3/2/24 18:59:28,anonymous,,,Einverstanden,27,Männlich,< 2 Jahre,Kommunales Krankenhaus,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Gut,Sehr gut,Verbessert,Nein,,4,4,5,4,5,2,4,2,1,2,1,3,4,4,4,4,5
110,3/2/24 19:14:01,3/2/24 19:15:45,anonymous,,,Einverstanden,28,Weiblich,2 - 5 Jahre,Kirchliches Krankenhaus,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Gut,Gut,Weder noch,Nein,,3,1,1,1,4,4,1,1,1,1,1,3,2,4,3,2,5
111,3/3/24 17:50:03,3/3/24 17:52:18,anonymous,,,Einverstanden,30,Weiblich,< 2 Jahre,Krankenhaus in privater Trägerschaft,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,40 - 48 h,Überwiegend Freizeitausgleich,Sehr gut,Sehr gut,Weder noch,Nein,,5,3,5,4,5,1,1,1,1,1,1,4,1,3,4,4,3
112,3/4/24 9:04:33,3/4/24 9:07:33,anonymous,,,Einverstanden,57,Männlich,> 20 Jahre,Universitätsklinikum,Städtisch (urban),Chefärztin/arzt,Vollzeit,49 - 59 h,Weder noch,Sehr gut,Mittelmäßig,Weder noch,Nein,,5,5,5,5,5,5,3,5,5,3,3,5,4,4,5,4,2
113,3/5/24 19:50:01,3/5/24 19:54:52,anonymous,,,Einverstanden,59,Männlich,> 20 Jahre,Kommunales Krankenhaus,Städtisch (urban),Oberärztin/arzt,Teilzeit,60 - 79 h,Überwiegend vergütet,Mittelmäßig,Gut,Verschlimmert,Nein,Keine,3,1,3,2,4,3,2,2,1,1,2,3,1,3,3,5,5
114,3/6/24 11:08:45,3/6/24 11:11:16,anonymous,,,Einverstanden,35,Weiblich,6 - 10 Jahre,Universitätsklinikum,Städtisch (urban),Fachärztin/arzt,Teilzeit,30 - 39 h,Überwiegend vergütet,Gut,Gut,Weder noch,Nein,,3,3,4,4,4,5,1,4,4,2,2,2,3,4,3,4,3
115,3/6/24 14:06:38,3/6/24 14:11:23,anonymous,,,Einverstanden,26,Männlich,< 2 Jahre,Krankenhaus in privater Trägerschaft,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Vollzeit,60 - 79 h,Überwiegend Freizeitausgleich,Sehr gut,Gut,Weder noch,Nein,,4,5,5,4,4,2,1,3,2,3,4,3,4,2,3,3,5
116,3/6/24 17:09:42,3/6/24 17:13:25,anonymous,,,Einverstanden,37,Männlich,6 - 10 Jahre,Krankenhaus in privater Trägerschaft,Städtisch (urban),Oberärztin/arzt,Vollzeit,49 - 59 h,Überwiegend Freizeitausgleich,Gut,Gut,Weder noch,Nein,,5,4,4,4,5,2,1,2,2,3,3,3,2,1,4,3,3
117,3/9/24 14:39:02,3/9/24 14:42:51,anonymous,,,Einverstanden,48,Männlich,16 - 20 Jahre,Kirchliches Krankenhaus,Ländlich (rural),Stellv. Chefärztin/arzt,Vollzeit,60 - 79 h,Überwiegend vergütet,Schlecht,Mittelmäßig,Verschlimmert,Nein,,4,4,5,5,5,3,2,4,4,4,5,4,5,4,5,5,2
118,3/9/24 14:43:07,3/9/24 14:46:19,anonymous,,,Einverstanden,41,Weiblich,6 - 10 Jahre,Universitätsklinikum,Städtisch (urban),Oberärztin/arzt,Vollzeit,40 - 48 h,Überwiegend vergütet,Mittelmäßig,Schlecht,Verschlimmert,Ja,Schutzmaßnahmen,3,4,4,4,5,2,1,2,4,3,4,5,4,4,4,5,2
119,3/9/24 14:47:17,3/9/24 14:49:43,anonymous,,,Einverstanden,43,Männlich,11 - 15 Jahre,Kirchliches Krankenhaus,Ländlich (rural),Fachärztin/arzt,Vollzeit,49 - 59 h,Weder noch,Mittelmäßig,Schlecht,Weder noch,Nein,,4,3,3,4,4,1,2,3,3,4,4,3,4,5,3,4,4
120,3/9/24 14:50:51,3/9/24 14:53:50,anonymous,,,Einverstanden,41,Weiblich,11 - 15 Jahre,Universitätsklinikum,Städtisch (urban),Stellv. Chefärztin/arzt,Vollzeit,60 - 79 h,Überwiegend Freizeitausgleich,Mittelmäßig,Schlecht,Verschlimmert,Ja,,5,5,4,5,4,4,2,2,4,5,4,4,4,5,4,5,2
121,3/12/24 14:08:57,3/12/24 14:13:33,anonymous,,,Einverstanden,59,Weiblich,> 20 Jahre,Kommunales Krankenhaus,Vorstädtisch (suburban),Chefärztin/arzt,Vollzeit,49 - 59 h,Weder noch,Gut,Sehr gut,Weder noch,Ja,"Viele Konferenzen und Besprechungen jetzt online, Fortbildungsveranstaltungen hybrid",5,5,5,5,5,2,2,4,2,5,5,5,4,5,5,5,2
122,3/12/24 16:32:56,3/12/24 16:37:01,anonymous,,,Einverstanden,56,Weiblich,> 20 Jahre,Kommunales Krankenhaus,Vorstädtisch (suburban),Fachärztin/arzt,Teilzeit,20 - 29 h,Überwiegend Freizeitausgleich,Gut,Gut,Weder noch,Nein,,3,3,4,4,4,2,2,4,3,2,2,3,2,3,4,3,4
123,3/12/24 17:32:11,3/12/24 17:36:11,anonymous,,,Einverstanden,30,Weiblich,2 - 5 Jahre,Kommunales Krankenhaus,Städtisch (urban),Ärztin/Arzt in Weiterbildung,Teilzeit,30 - 39 h,Überwiegend Freizeitausgleich,Sehr gut,Mittelmäßig,Verschlimmert,Nein,,4,1,3,4,4,4,4,2,1,3,4,4,4,1,5,5,4
124,3/12/24 23:10:27,3/12/24 23:14:07,anonymous,,,Einverstanden,45,Weiblich,16 - 20 Jahre,Kommunales Krankenhaus,Vorstädtisch (suburban),Fachärztin/arzt,Teilzeit,20 - 29 h,Überwiegend vergütet,Gut,Mittelmäßig,Weder noch,Nein,,3,1,4,3,5,2,2,3,1,1,1,4,2,3,3,4,4
125,3/13/24 12:11:19,3/13/24 12:15:04,anonymous,,,Einverstanden,46,Weiblich,16 - 20 Jahre,Krankenhaus in privater Trägerschaft,Vorstädtisch (suburban),Oberärztin/arzt,Teilzeit,40 - 48 h,Weder noch,Gut,Mittelmäßig,Weder noch,Nein,,4,3,4,4,5,2,2,2,1,2,2,4,3,2,1,3,4
